filename,SI-SNR,PESQ,OVRL,SIG,BAK,P808_MOS
00088_3_clapping_snr+10dB_noisy.wav,16.46,2.363,3.302,3.636,4.042,3.777
00089_3_clapping_snr+15dB_noisy.wav,17.40,2.580,3.325,3.658,4.053,3.839
00090_3_clapping_snr+20dB_noisy.wav,17.90,2.757,3.358,3.664,4.102,3.885
00091_3_door_knock_snr-5dB_noisy.wav,10.80,1.752,2.939,3.412,3.651,3.749
00094_3_door_knock_snr+10dB_noisy.wav,16.04,2.384,3.295,3.638,4.023,3.913
00095_3_door_knock_snr+15dB_noisy.wav,17.26,2.650,3.348,3.661,4.085,3.940
00096_3_door_knock_snr+20dB_noisy.wav,17.94,2.962,3.337,3.660,4.068,3.946
00097_3_keyboard_loud_snr-5dB_noisy.wav,4.77,1.191,2.226,2.737,3.384,2.752
00099_3_keyboard_loud_snr+5dB_noisy.wav,11.86,1.533,2.568,3.133,3.318,3.274
00098_3_keyboard_loud_snr+0dB_noisy.wav,8.60,1.344,2.392,3.025,3.151,2.903
00100_3_keyboard_loud_snr+10dB_noisy.wav,14.61,1.834,3.014,3.377,3.897,3.549
00101_3_keyboard_loud_snr+15dB_noisy.wav,16.66,2.179,3.195,3.544,3.983,3.644
00102_3_keyboard_loud_snr+20dB_noisy.wav,17.76,2.453,3.262,3.591,4.038,3.818
00103_3_keyboard_soft_snr-5dB_noisy.wav,4.25,1.399,2.622,3.049,3.606,3.113
00105_3_keyboard_soft_snr+5dB_noisy.wav,11.00,1.856,2.964,3.443,3.681,3.586
00104_3_keyboard_soft_snr+0dB_noisy.wav,7.58,1.619,2.775,3.224,3.623,3.367
00107_3_keyboard_soft_snr+15dB_noisy.wav,16.13,2.476,3.268,3.607,4.010,3.833
00106_3_keyboard_soft_snr+10dB_noisy.wav,13.97,2.143,3.129,3.539,3.851,3.725
00108_3_keyboard_soft_snr+20dB_noisy.wav,17.42,2.822,3.336,3.641,4.083,3.871
